Kill,Gold,Deal,View Score,Damage,CS,Result
18,65232,73311,300,92400,1089,1
27,63492,65302,265,61700,1048,1
17,77446,86216,325,159200,1323,1
16,68280,57310,311,84300,1242,1
22,64779,59678,264,138400,1036,1
16,65604,78264,304,86700,1169,1
16,58965,50552,237,97400,1098,1
30,60218,87032,198,90100,952,1
20,74392,79630,338,111200,1242,1
13,61717,87299,237,110200,1025,1
18,55371,46164,237,72300,878,1
16,55576,54924,203,57900,978,1
19,66713,87891,384,115100,1162,1
25,57497,66555,192,69600,926,1
25,55389,80395,205,72000,870,1
24,65806,87269,242,93300,1031,1
13,60274,60534,257,79900,1145,1
20,67227,74236,269,75900,1147,1
20,58282,54701,230,66500,999,1
25,71948,90431,284,111400,1188,1
13,66154,54808,284,93000,1141,1
27,54774,70477,195,90700,775,1
14,65269,83266,275,88700,1249,1
19,42647,45372,127,42100,705,1
14,57283,49381,211,72400,977,1
12,57011,50163,267,64900,1060,1
19,64703,71686,273,88500,1098,1
22,63769,85726,237,116100,237,1
14,55320,65552,233,85900,874,1
21,61803,64183,233,95700,1059,1
13,56507,69867,225,71900,1022,1
19,58063,73132,215,88200,1027,1
9,56922,37738,208,65500,1062,1
17,69108,92975,305,133100,1290,1
14,48969,43083,161,52300,854,1
21,62918,73309,226,97400,1013,1
24,64861,68914,278,100500,1090,1
17,60735,77073,249,83600,1027,1
19,62647,67642,263,94400,1088,1
22,61695,73824,265,94500,1091,1
16,55810,46336,282,45100,946,1
25,53822,56527,186,66300,803,1
21,83075,114357,483,138100,1436,1
12,64079,41099,285,63800,1238,1
9,69737,57672,268,81000,1343,1
19,75673,148190,463,142700,1208,1
7,63000,53351,273,62100,1263,1
17,48167,40878,207,58300,874,1
9,52463,54850,247,72300,987,1
12,61851,48511,274,79800,1290,1
24,74340,84170,350,117300,1289,1
12,63369,48290,305,84800,1179,1
15,55788,50447,220,56300,1017,1
21,61277,63091,270,79900,1052,1
16,67462,94946,298,110200,1130,1
15,58939,58715,270,97400,1076,1
24,66341,85593,248,97600,1084,1
14,65576,72320,330,95700,1212,1
13,59706,68271,204,77000,1132,1
27,66692,77526,290,111400,1028,1
17,54188,39653,194,59900,1027,1
21,67923,67051,308,93300,1222,1
19,57349,48390,284,75200,1024,1
21,57080,60085,249,79600,1005,1
17,59916,84428,291,92000,1047,1
23,64473,71414,283,103600,1093,1
22,58030,64123,238,77700,1016,1
17,45490,54149,160,55800,752,1
22,90266,116566,441,131300,1579,1
14,57932,65422,262,91600,1062,1
24,64979,77398,225,103700,1071,1
22,52834,56462,149,61200,787,1
11,49974,91978,185,62500,939,1
13,56632,54531,247,56100,1018,1
25,73376,85788,357,100700,1210,1
17,50897,51175,175,56800,907,1
19,66401,64307,289,105000,1158,1
17,70578,80409,287,119100,1146,1
22,58385,52596,203,73400,1062,1
9,65804,85596,384,99700,1236,1
14,50005,37241,174,57200,835,1
15,63184,63537,269,75100,1199,1
25,54293,57294,178,83900,914,1
24,72745,78043,351,96900,1365,1
16,64909,58952,270,66300,1128,1
23,59293,57154,200,87900,625,1
8,70016,91447,303,78400,1394,1
9,72454,58520,349,80200,1394,1
12,67931,99171,290,87500,1287,1
21,51370,72742,204,83200,878,1
20,73748,99395,277,140200,1287,1
26,56362,73649,242,60700,968,1
17,68141,70270,347,84300,1188,1
13,47650,59097,206,67700,837,1
15,62445,57218,240,91100,1104,1
17,68155,92087,295,101600,1169,1
16,58584,55318,197,69000,981,1
18,53588,68571,166,86500,900,1
13,50090,45808,157,61200,918,1
19,61585,48121,308,76200,1130,1
28,61001,69417,227,105600,983,1
23,59534,97084,225,113700,1027,1
22,59837,68126,205,71600,980,1
25,66553,85252,252,106400,1084,1
22,59028,95211,252,72300,956,1
15,40098,37493,120,47700,652,1
11,55843,43759,231,66200,1033,1
12,62533,75408,279,80900,1161,1
13,76090,74262,266,92200,1478,1
21,81333,118818,369,168600,1456,1
21,83417,93550,403,106800,1454,1
20,64697,80929,285,121400,1135,1
16,64880,83224,281,80400,1170,1
24,56457,59894,225,77200,931,1
14,54879,58300,279,95700,1033,0
8,54175,64000,196,91800,1011,0
17,66075,110110,316,117500,1218,0
2,59812,59100,267,91300,1258,0
10,55408,52300,229,85800,1098,0
6,52475,56900,286,104400,1052,0
2,48456,27400,249,82500,1010,0
10,47929,57300,149,106000,803,0
13,69109,80300,356,121000,1325,0
13,55328,74600,222,120600,998,0
5,44905,41900,175,76100,928,0
1,39826,37100,156,72300,840,0
9,55561,79900,214,126100,1086,0
4,40037,40700,181,83900,787,0
8,41321,43800,159,108200,759,0
12,55520,62700,245,116800,1009,0
5,56404,49300,302,93600,1126,0
8,52291,45400,252,94800,1002,0
8,48189,54700,169,66500,925,0
13,60480,98200,288,121600,1132,0
6,61899,54700,276,85000,1211,0
9,44752,58700,203,88900,807,0
7,61890,62500,303,118100,1167,0
3,29284,23700,89,60300,571,0
4,43214,38600,226,65000,906,0
3,65206,30300,192,68900,925,0
10,53759,57100,229,99200,1021,0
14,59759,77600,259,114000,1082,0
9,47539,61700,187,87600,903,0
8,53923,67100,226,92000,1045,0
7,50367,47200,211,95900,1034,0
8,49159,57700,190,95400,1019,0
3,45415,36500,180,62900,983,0
18,67359,90500,236,130600,1278,0
4,39978,75300,138,69200,820,0
12,50749,61900,174,95700,961,0
11,52889,67900,182,101500,997,0
10,49940,54900,161,103400,988,0
7,48506,57200,164,88100,925,0
5,47471,53600,174,94200,966,0
0,41471,20400,180,61500,925,0
7,38182,35300,152,71500,772,0
17,74511,102100,356,154800,1326,0
5,55203,37200,261,72000,1088,0
4,60067,42000,308,73900,1282,0
21,72962,108700,359,185800,1256,0
4,51794,28100,216,81300,1083,0
3,34347,23500,125,52300,726,0
6,41450,34600,174,89300,818,0
4,56249,54700,233,69400,1192,0
15,65217,75100,273,105400,1145,0
2,47680,42500,193,69200,992,0
7,42858,35200,187,68400,853,0
8,47276,45500,194,27900,954,0
18,60269,80300,249,124700,1029,0
9,57329,61900,215,87100,1084,0
11,57250,75600,286,116100,1094,0
9,53614,51500,220,95000,1042,0
6,46091,43100,207,85600,910,0
15,53076,73600,169,99800,940,0
9,48049,36300,191,69800,940,0
10,59178,55100,288,94800,1143,0
3,41741,43600,174,73200,909,0
6,40731,47600,178,75500,852,0
9,47473,58500,210,100500,952,0
7,55386,74000,263,95300,1182,0
6,44110,33600,221,88500,840,0
4,38843,34200,159,72000,793,0
21,79159,89200,339,152400,1512,0
4,47061,32600,195,87500,1001,0
13,49910,67700,233,94200,917,0
8,38111,29500,120,72700,718,0
1,42223,40400,216,53000,907,0
4,47512,36000,214,80100,1180,0
18,65389,71000,251,111100,1111,0
3,38132,32500,138,73700,820,0
16,62975,67800,266,98100,1160,0
15,65510,97000,313,121900,1196,0
9,45274,41600,189,73100,922,0
9,61171,68800,265,112100,1229,0
4,36204,29300,147,49600,760,0
4,46984,36000,188,78400,1018,0
3,38765,55200,138,76600,782,0
7,61635,78300,238,110500,1170,0
6,51940,43100,237,78400,1010,0
8,44168,49300,189,74900,810,0
3,63209,92600,304,120800,1354,0
3,60149,49100,316,85300,1318,0
7,59844,60900,289,100400,1214,0
7,40427,55400,172,87000,823,0
13,66326,100100,358,122900,1264,0
8,42961,42100,179,93700,854,0
7,55243,65200,245,99200,1094,0
7,45087,40600,211,72700,840,0
5,54040,52000,260,76700,1145,0
6,59758,74300,283,121800,1135,0
6,46907,41500,179,80400,952,0
13,47230,63200,155,89000,848,0
4,40576,33800,176,68300,840,0
4,49646,37700,223,75100,1025,0
11,48910,67800,190,94900,893,0
14,55183,87700,224,120900,921,0
6,46106,37600,207,92700,962,0
8,55665,66500,228,114600,1092,0
10,51124,51200,241,125500,993,0
2,28623,24200,98,49400,596,0
7,50465,39200,286,67300,1048,0
7,55498,51600,300,102100,1138,0
7,65488,52700,351,110000,1325,0
18,73270,116400,337,144600,1139,0
12,76297,70700,365,125500,1489,0
12,58435,78200,298,108600,1121,0
11,60665,56500,341,124800,1136,0
7,44148,47200,176,80100,878,0
,,,,,,
